Time,RRI,SpO2,SBP,DBP,MAP,HR,CO,SV,TPR
3282.0667,0.71995,95.79286756,109.03125,63.1875,80.20523973,79.76821899,8819.966797,105.46875,11.8321
3282.78665,0.72425,95.79038661,107.78125,63.4375,79.11618942,83.34088898,7703.800781,93.28125,11.5932
3283.5109,NA,95.19807005,104.0625,61.71875,76.72066186,NA,7582.811035,87.4375,11.0628
3284.2036,NA,94.78004179,106.03125,61.4375,77.61117887,NA,7996.104004,91.5,10.7718
3284.8916,NA,94.77994925,109.03125,61.46875,79.72771538,NA,7383.708984,83.71875,11.1886
3285.5763,NA,94.77943939,111.8125,62.4375,81.61033241,NA,7123.470703,82.21875,10.6041
3286.2684,0.7535,94.77856669,113.5,63.1875,82.84744667,79.63032532,6933.114258,86.875,9.9451
3287.0219,0.8093,94.7750641,119.78125,65.3125,85.00684836,79.63032532,7132.500488,96.5625,9.5073
3287.8312,1.0589,94.78242752,120.53125,64.3125,81.50444834,56.66207886,5652.325684,99.875,9.7581
3288.8901,0.9686,94.78536354,117.59375,59.1875,79.04113856,61.94345093,6431.278809,103.8125,9.9887
3289.8587,0.9531,94.79474544,109.28125,58.9375,75.06205727,62.95219803,7104.627441,113.1875,11.4682
3290.8118,0.8544,94.79547051,104.25,56.96875,72.67083977,62.95219803,8390.584961,119.34375,11.2417
3291.6662,0.7357,94.79278663,NA,56.1875,69.20145419,81.55646515,NA,118.5,11.4377
3292.4019,0.69975,94.79054573,NA,56.90625,72.00921132,81.55646515,8663.088867,100.25,11.8337
3293.10165,NA,94.78522366,105.8125,60.1875,78.21216875,NA,7929.958496,91.5,11.5118
3293.7941,0.78195,95.35799923,115.96875,68.46875,86.69947623,NA,5746.39502,75.46875,11.0497
3294.57605,1.0929,95.78289413,124.28125,69.75,87.66452886,54.90083313,4478.707031,81.90625,9.9949
3295.66895,1.02415,95.78366206,126.53125,66.46875,88.41371427,54.90083313,5508.129883,94.4375,10.8059
3296.6931,1.04515,95.78711489,120.71875,67.90625,85.11611745,57.40742111,5836.469238,101.75,12.912
3297.73825,1.05185,95.78367579,117.03125,65.40625,81.6947959,57.04265594,6796.98877,119.25,12.2548
3298.7901,0.9938,95.77841995,111.84375,62.6875,78.14223382,60.37555695,7687.016113,127.3125,13.4114
3299.7839,0.9034,94.80439174,104.9375,60.1875,74.71356916,60.37555695,7261.365234,109.28125,13.9577
3300.6873,0.80355,94.79689931,102.78125,58.96875,74.05717647,66.41467285,7602.250977,102.1875,13.7995
3301.49085,0.7327,94.79725459,106.1875,59.65625,77.08817588,81.89055634,7879.406738,96.21875,13.3904
3302.22355,0.7335,94.79622742,111.8125,62.90625,82.90227164,81.79818726,7004.327148,86.0625,12.6307
3302.95705,1.1337,94.79802582,120.4375,68.96875,85.97644893,81.79818726,4476.571289,84.40625,10.8947
3304.09075,1.1189,94.80117331,127.53125,65.9375,89.33988717,53.62394333,4997.918945,93.25,10.1793
3305.20965,1.1059,95.27359927,123.25,68.9375,88.55214949,53.62394333,5483.19873,100.875,14.1271
3306.31555,1.07125,95.80227392,121.03125,69.1875,87.63613783,56.008358,6171.84082,110.25,12.9105
